id,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365,number_of_reviews_ltm
31419142,35390479,Eder,City Heights East,32.7305,-117.10001,Entire home/apt,158,2,230,2,15,55
28221767,213158588,Angie,Mission Bay,32.78298,-117.25258,Entire home/apt,325,4,108,1,177,32
40509379,65252786,Rich And Ruby,Midtown,32.74378,-117.17728,Entire home/apt,141,3,99,1,91,34
49095158,126644161,Evolve,Gaslamp Quarter,32.70828,-117.16057,Entire home/apt,149,30,0,83,294,0
6.61E+17,447660947,Lee,Mission Bay,32.79171,-117.23179,Entire home/apt,206,2,5,3,362,5
22472622,100306999,Taylor,Pacific Beach,32.80533,-117.25439,Private room,96,2,40,1,34,34
10031908,51501892,Conor,Pacific Beach,32.79763,-117.24985,Private room,113,2,128,2,24,6
6.15E+17,13863280,Darreca,Normal Heights,32.75865,-117.12505,Entire home/apt,114,3,0,1,363,0
21175991,25320944,Maggie,South Park,32.7163,-117.12859,Entire home/apt,99,1,664,3,58,110
32763686,246277705,Luis,Bay Terrace,32.67476,-117.03922,Entire home/apt,300,2,0,1,0,0
3192233,16179641,Fabrice,Pacific Beach,32.79647,-117.23658,Private room,119,3,160,2,51,4
8.11E+17,86162574,Lynn,Balboa Park,32.7171558,-117.1362821,Entire home/apt,379,1,0,2,256,0
6.84E+17,152099471,Edward,La Jolla Village,32.85701,-117.23406,Private room,59,31,1,4,30,1
23853868,52179214,Kyle,North Hills,32.75325,-117.13755,Entire home/apt,110,1,1,1,0,0
53256016,272191163,Danny And Michelle,Midtown,32.74243,-117.16853,Entire home/apt,207,2,54,7,113,44
31561794,40734550,Kelsi,Midtown,32.73268,-117.16733,Entire home/apt,403,2,103,2,57,16
9541758,874690,Kathi,Grant Hill,32.71114,-117.14513,Entire home/apt,110,2,405,1,206,52
27163592,37165995,Christina,Midtown,32.7459,-117.16695,Entire home/apt,159,3,166,1,39,25
6.20E+17,456018927,Vacasa California,Pacific Beach,32.79224,-117.25281,Entire home/apt,437,3,14,4,365,7
6.55E+17,270083233,Shore,La Jolla,32.8451527,-117.2722731,Entire home/apt,151,2,27,6,64,27
53185307,429429981,Vacasa California,Ocean Beach,32.74847,-117.25053,Entire home/apt,407,3,19,122,361,13
5.90E+17,126644161,Evolve,Midtown,32.73712,-117.16172,Entire home/apt,106,30,1,83,97,1
46177789,140336395,Sohela,Mission Bay,32.77889,-117.2514,Entire home/apt,180,2,106,2,250,47
18734309,123652135,Anton,Pacific Beach,32.79783,-117.25619,Entire home/apt,257,2,24,1,83,4
9077973,17168667,Emily,Ocean Beach,32.75037,-117.2498,Entire home/apt,185,2,338,6,64,36
22669939,204284742,Lisa,Mission Bay,32.77188,-117.24943,Entire home/apt,136,7,122,12,66,22
23966406,167309906,Katrina,East Village,32.71146,-117.15848,Entire home/apt,183,1,136,14,210,45
52604087,74336050,Nel,Linda Vista,32.7728,-117.172,Private room,54,5,12,4,0,11
52783848,368479026,Morganne,East Village,32.70885,-117.15383,Entire home/apt,77,30,1,1,155,1
53383533,20631555,Jon,Bay Park,32.77609,-117.19664,Entire home/apt,300,30,0,1,0,0
53155111,395318064,Chris & Meghan,Gaslamp Quarter,32.71391,-117.16095,Entire home/apt,113,2,19,27,235,16
6.51E+17,418599072,Kengming,La Jolla Village,32.8585,-117.23408,Private room,69,30,0,16,0,0
7.59E+17,20068090,Brianna,Balboa Park,32.72605,-117.13123,Entire home/apt,159,4,0,2,0,0
48345302,332313169,Riaz,East Village,32.71555,-117.15336,Entire home/apt,155,30,6,4,350,0
13658210,8959661,Molly,Mission Bay,32.7833,-117.25149,Entire home/apt,277,4,116,15,262,23
41114155,178836989,Bonaparte,Mission Bay,32.77757,-117.2526,Entire home/apt,206,1,296,22,154,61
5.58E+17,4501445,Diego,Little Italy,32.724945,-117.168037,Entire home/apt,220,2,55,9,69,46
53686294,180163152,Bernard,Mission Bay,32.79109,-117.25017,Entire home/apt,175,30,6,1,107,5
40592545,178836989,Bonaparte,Mission Bay,32.7778,-117.25339,Entire home/apt,193,1,322,22,153,78
7.78E+17,415840703,Anyplace,East Village,32.7108,-117.15476,Entire home/apt,286,31,0,15,309,0
47849232,47928015,Doug,Mission Bay,32.78756,-117.25291,Entire home/apt,106,3,146,32,244,64
5.92E+17,113883981,City,East Village,32.71219,-117.15535,Entire home/apt,139,30,20,31,89,20
8.52E+17,506301923,Snezana,Rancho Bernadino,33.02301237,-117.0681251,Entire home/apt,140,2,0,1,5,0
43651817,143583341,Sean,East Village,32.71462,-117.15426,Entire home/apt,455,2,128,2,160,35
27315517,203444625,Yaping,Mira Mesa,32.92529,-117.12087,Private room,102,2,33,5,0,0
6.87E+17,16687084,Vivian,Core,32.71848,-117.15859,Entire home/apt,155,3,17,14,153,17
32894625,247475029,Nicole,Bay Park,32.78322,-117.19043,Entire home/apt,190,3,21,1,0,0
35253326,38599301,Patricia And Bill,Rancho Penasquitos,32.96278,-117.12193,Entire home/apt,209,2,37,1,0,14
15252650,97000235,Karen,East Village,32.71766,-117.15336,Entire home/apt,140,31,7,1,341,0
44249704,220390393,Darnay,South Park,32.72701,-117.12476,Entire home/apt,200,2,42,1,0,17
21393354,78856765,Haley,East Village,32.71275,-117.15438,Entire home/apt,326,2,213,1,117,39
3310925,874515,Luke,Mission Bay,32.76416,-117.2515,Entire home/apt,267,3,43,36,52,8
7.37E+17,468506406,Khoa,Mira Mesa,32.91455,-117.1556,Private room,52,1,9,3,359,9
28938416,203105783,Jill,Mira Mesa,32.93227,-117.15327,Private room,46,2,137,1,143,52
54343906,53213600,Tina,Clairemont Mesa,32.83114,-117.16951,Entire home/apt,456,3,28,2,176,28
50900220,152208927,Andre,Otay Ranch,32.61904,-116.98615,Private room,65,30,0,1,0,0
32186881,238955122,Wei,Mira Mesa,32.90733,-117.15838,Private room,57,10,11,6,266,5
6.28E+17,4656446,Air Concierge,Carmel Valley,32.941322,-117.236473,Entire home/apt,215,31,5,36,80,5
36640071,218874085,Fariba,Rancho Penasquitos,32.99145,-117.16133,Entire home/apt,290,32,3,1,290,0
26866906,159842680,Nefertari,North Hills,32.74979,-117.1327,Private room,100,1,5,1,0,0
23964854,176374258,Andrew,Lake Murray,32.795,-117.02205,Private room,69,2,20,2,177,2
6.44E+17,385112514,Alexandre,Bay Ho,32.82731,-117.22845,Entire home/apt,170,23,3,1,174,3
21490193,2044077,Donna,Bay Ho,32.83361,-117.22756,Entire home/apt,380,2,111,4,346,25
32522780,220228547,Jon,Cortez Hill,32.72218,-117.15652,Entire home/apt,120,1,150,6,40,37
8.33E+17,238190430,Matt,Clairemont Mesa,32.81319949,-117.1681476,Entire home/apt,400,2,0,1,344,0
8.12E+17,370968759,Rahab,El Cerritos,32.74946996,-117.0721405,Private room,82,1,0,1,365,0
19663189,95984465,Gerard,Clairemont Mesa,32.80705,-117.19024,Entire home/apt,321,3,67,2,166,12
6.65E+17,89355517,Paul,North Hills,32.73796908,-117.1276068,Entire home/apt,191,3,0,2,363,0
31106837,90786414,Kathleen,La Jolla,32.8477,-117.25082,Private room,99,2,44,4,354,6
43130107,10251474,Chip,La Jolla,32.85428,-117.25203,Entire home/apt,275,3,144,1,147,47
6.90E+17,159355723,Outsite,North Hills,32.73941,-117.12493,Private room,110,1,2,10,312,2
34513677,4185643,Veena,Ocean Beach,32.75078583,-117.247406,Entire home/apt,213,2,141,23,41,25
