id,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365,number_of_reviews_ltm
42060,183862,Cole,Western Addition,37.76962654,-122.432104,Entire home/apt,105,30,6,1,32,0
220418,1032643,Josh,Haight Ashbury,37.77031,-122.44948,Private room,69,1,534,5,348,46
44032,98733,David + Tina,Mission,37.75158,-122.41158,Entire home/apt,99,30,300,1,58,5
229319,12798954,Anya,Bernal Heights,37.73825,-122.41451,Entire home/apt,239,5,27,2,145,9
571142,2072534,Adam,Inner Sunset,37.76459,-122.45483,Entire home/apt,199,30,47,1,74,2
232060,1214006,Syl & Art,Inner Sunset,37.75893,-122.4664,Entire home/apt,99,30,113,1,247,0
47682,216682,Jay,Pacific Heights,37.79186,-122.42429,Entire home/apt,125,30,34,9,365,3
238204,1248132,"Jennifer, Maria , Andrew",Parkside,37.74228,-122.50415,Entire home/apt,140,2,278,1,230,30
585326,2676602,Su,Outer Richmond,37.77547,-122.48116,Entire home/apt,85,2,914,2,91,95
589767,1692184,Joe & Katrina,Russian Hill,37.79769,-122.41155,Entire home/apt,275,7,27,3,335,2
51773,216682,Jay,Pacific Heights,37.79373,-122.42507,Private room,57,30,166,9,293,0
256176,976125,Eva,Inner Richmond,37.77713,-122.456,Private room,102,2,437,1,319,46
53280,126263,Cecilia,Bernal Heights,37.73805,-122.41165,Private room,95,3,145,2,218,0
591431,727246,Erika,Mission,37.75,-122.4235,Entire home/apt,450,1,18,1,0,2
54518,255971,Kathy,Financial District,37.79337,-122.40198,Entire home/apt,132,30,21,1,156,2
592883,1776403,Natallia,Mission,37.75594,-122.41105,Private room,90,7,73,5,159,14
258873,1360620,Debbie,North Beach,37.80023,-122.40844,Private room,100,2,417,2,121,34
269463,1244308,Lawrence,Haight Ashbury,37.76761,-122.45139,Entire home/apt,250,2,173,1,62,14
54634,216682,Jay,Pacific Heights,37.79352,-122.42649,Entire home/apt,95,30,49,9,311,3
55636,262875,Paul,Twin Peaks,37.74778,-122.44566,Entire home/apt,110,30,28,3,338,0
56621,216682,Jay,Pacific Heights,37.79183,-122.42425,Private room,60,30,127,9,256,0
593253,2929255,Trevor,Western Addition,37.7699,-122.42917,Private room,95,5,392,1,241,23
57561,272890,Theodore,Bernal Heights,37.74684,-122.41548,Entire home/apt,178,30,223,1,310,2
596042,216682,Jay,Pacific Heights,37.79361,-122.42469,Private room,60,30,101,9,353,0
271602,1421296,Richard,South of Market,37.77907,-122.40503,Entire home/apt,103,30,117,1,134,6
57676,142882,Jessica And Sebouh,Mission,37.75758,-122.42043,Private room,99,30,122,2,0,0
271647,1421509,Matthew,Outer Sunset,37.75334,-122.50794,Private room,60,30,135,2,0,0
273530,99128,Cathryn,Potrero Hill,37.75533,-122.39927,Entire home/apt,316,4,35,2,0,1
59702,287136,Toby,Bernal Heights,37.74188,-122.4127,Private room,150,30,192,1,145,0
604221,2991110,Jerry,Downtown/Civic Center,37.78239,-122.41833,Entire home/apt,76,30,23,3,33,1
274334,1434669,Ashli,Outer Sunset,37.7517,-122.5051,Private room,87,3,138,1,100,36
280549,1454829,Luise,West of Twin Peaks,37.73948,-122.44947,Private room,250,1,36,1,331,1
62519,304426,Abhay,Noe Valley,37.7422,-122.42996,Private room,120,2,37,2,14,0
62804,233540,Chris,Western Addition,37.7702,-122.42913,Entire home/apt,300,3,4,1,10,0
616517,3055666,Steven,South of Market,37.77459,-122.40768,Entire home/apt,199,30,113,1,365,1
623906,1772044,Judy,Noe Valley,37.74551,-122.43723,Entire home/apt,119,5,4,2,60,1
284117,1479905,Samantha,Glen Park,37.74102,-122.42815,Entire home/apt,80,30,221,2,88,5
64165,237691,Regina,Marina,37.80284,-122.42839,Private room,147,30,76,3,243,6
66119,52862,Joe,Outer Richmond,37.77737,-122.47985,Entire home/apt,95,30,101,2,365,1
308885,1588855,Arbe,Financial District,37.79739,-122.4052,Entire home/apt,120,30,113,2,364,0
68239,337833,Philipp,Mission,37.75393,-122.42505,Entire home/apt,326,30,46,1,352,2
626349,2528117,Sean,South of Market,37.78097,-122.40628,Entire home/apt,107,30,52,1,51,3
69410,347624,Patrick,Inner Richmond,37.77585,-122.46413,Entire home/apt,90,30,65,1,230,7
628068,1347606,Momchil,Financial District,37.78724,-122.39825,Entire home/apt,100,30,62,1,38,6
70139,354456,Rachel,Bernal Heights,37.74544,-122.42271,Entire home/apt,110,30,16,1,188,4
632303,2206832,Athena,Glen Park,37.73932,-122.43337,Entire home/apt,126,30,23,2,257,6
71645,367464,Jeff,Bernal Heights,37.74409,-122.40846,Entire home/apt,119,3,272,1,124,59
323635,812808,Mukt,Excelsior,37.72386,-122.4325,Private room,70,2,79,1,3,1
77175,395569,Tyler&Shoreh,Glen Park,37.73711,-122.43525,Entire home/apt,115,3,361,1,61,27
325478,1579337,Markus,Mission,37.76122,-122.42319,Entire home/apt,348,2,162,1,0,19
326650,1670339,Je,Western Addition,37.78457,-122.43177,Entire home/apt,189,30,32,2,365,0
635850,3169829,Anjan,South of Market,37.78297,-122.39963,Private room,304,2,21,2,89,0
642672,611216,Yasaman,Bernal Heights,37.74584,-122.42412,Entire home/apt,99,30,6,1,67,0
78651,142882,Jessica And Sebouh,Mission,37.75585,-122.42081,Private room,85,30,92,2,365,0
80394,126930,Abla,Haight Ashbury,37.77065,-122.44433,Entire home/apt,135,30,28,1,0,1
329020,326840,Jorge,South of Market,37.78377,-122.39275,Entire home/apt,250,30,6,1,0,0
81158,439589,Brent,Western Addition,37.78408,-122.44436,Entire home/apt,83,30,29,1,156,4
646275,1094388,Lynnore,Bernal Heights,37.74762,-122.41584,Entire home/apt,164,4,132,1,156,15
83257,453743,Kimberly,Western Addition,37.78353,-122.44369,Private room,90,7,107,1,92,7
647360,3245648,Eric & Peter,Lakeshore,37.73286,-122.47812,Entire home/apt,267,2,451,1,238,57
330535,625762,Ryan And Lindsea,Haight Ashbury,37.76699,-122.44643,Entire home/apt,150,30,116,2,299,1
338849,1670339,Je,Western Addition,37.78599,-122.43232,Private room,59,30,3,2,348,0
348714,78610,George,Haight Ashbury,37.77347,-122.44364,Private room,136,3,395,1,239,24
91957,495796,Joy,Haight Ashbury,37.76114,-122.44929,Entire home/apt,225,30,95,1,365,0
350479,1776403,Natallia,Mission,37.75783,-122.41063,Private room,66,30,57,5,228,9
648086,3250518,Ponge,Bernal Heights,37.74189,-122.41902,Private room,79,3,326,1,302,33
654279,3289160,Tim & Chris,Bayview,37.74444,-122.40408,Private room,95,3,332,1,170,15
96383,216682,Jay,Pacific Heights,37.79359,-122.42421,Private room,65,30,141,9,365,1
353292,1789683,Tim,Western Addition,37.77201,-122.4297,Private room,90,30,23,1,365,0
